fold,class,bar_resnet50,bar_vgg16
1,Pepper__bell___Bacterial_spot,0.20610077679157257,0.23918874561786652
1,Pepper__bell___Bacterial_spot,0.2084796279668808,0.28431132435798645
1,Pepper__bell___Bacterial_spot,0.27913275361061096,0.3176540732383728
1,Pepper__bell___Bacterial_spot,0.23381197452545166,0.1842591017484665
1,Pepper__bell___Bacterial_spot,0.20801489055156708,0.2480214536190033
1,Pepper__bell___Bacterial_spot,0.2808398902416229,0.21838632225990295
1,Pepper__bell___Bacterial_spot,0.19024105370044708,0.1475970596075058
1,Pepper__bell___Bacterial_spot,0.3313980996608734,0.25301286578178406
1,Pepper__bell___Bacterial_spot,0.1845211684703827,0.1893777847290039
1,Pepper__bell___Bacterial_spot,0.22465282678604126,0.18013118207454681
1,Pepper__bell___Bacterial_spot,0.32334738969802856,0.3405020833015442
1,Pepper__bell___Bacterial_spot,0.1904883086681366,0.10689125210046768
1,Pepper__bell___Bacterial_spot,0.36353155970573425,0.23462136089801788
1,Pepper__bell___Bacterial_spot,0.3619547188282013,0.28837114572525024
1,Pepper__bell___Bacterial_spot,0.3947392404079437,0.3497816324234009
1,Pepper__bell___Bacterial_spot,0.34650641679763794,0.3039439022541046
1,Pepper__bell___Bacterial_spot,0.1896398961544037,0.16721054911613464
1,Pepper__bell___Bacterial_spot,0.2700994908809662,0.27772462368011475
1,Pepper__bell___Bacterial_spot,0.20268844068050385,0.16190573573112488
1,Pepper__bell___Bacterial_spot,0.24825452268123627,0.1710745394229889
1,Pepper__bell___Bacterial_spot,0.13054415583610535,0.11192252486944199
1,Pepper__bell___Bacterial_spot,0.22130213677883148,0.11830800026655197
1,Pepper__bell___Bacterial_spot,0.29428771138191223,0.24351464211940765
1,Pepper__bell___Bacterial_spot,0.18984179198741913,0.15294896066188812
1,Pepper__bell___Bacterial_spot,0.12137922644615173,0.10782752931118011
1,Pepper__bell___Bacterial_spot,0.19364795088768005,0.1925240308046341
1,Pepper__bell___Bacterial_spot,0.2704358696937561,0.14344389736652374
1,Pepper__bell___Bacterial_spot,0.1682298630475998,0.15526418387889862
1,Pepper__bell___Bacterial_spot,0.33060669898986816,0.292470246553421
1,Pepper__bell___Bacterial_spot,0.19207890331745148,0.2355814129114151
1,Pepper__bell___Bacterial_spot,0.21001684665679932,0.1442880630493164
1,Pepper__bell___Bacterial_spot,0.40631550550460815,0.37038466334342957
1,Pepper__bell___Bacterial_spot,0.2873436212539673,0.13770101964473724
1,Pepper__bell___Bacterial_spot,0.17564460635185242,0.16413700580596924
1,Pepper__bell___Bacterial_spot,0.25945815443992615,0.20729753375053406
1,Pepper__bell___Bacterial_spot,0.3029780983924866,0.17066964507102966
1,Pepper__bell___Bacterial_spot,0.182365283370018,0.152666836977005
1,Pepper__bell___Bacterial_spot,0.21313288807868958,0.2020377218723297
1,Pepper__bell___Bacterial_spot,0.23277829587459564,0.23315538465976715
1,Pepper__bell___Bacterial_spot,0.17832307517528534,0.1403113752603531
1,Pepper__bell___Bacterial_spot,0.24992647767066956,0.20370113849639893
1,Pepper__bell___Bacterial_spot,0.3130030930042267,0.22958648204803467
1,Pepper__bell___Bacterial_spot,0.1887531727552414,0.2033775895833969
1,Pepper__bell___Bacterial_spot,0.24253232777118683,0.3354647159576416
